gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score,average_score
female,group D,some high school,standard,completed,61,74,72,207,41.4
female,group E,master's degree,standard,none,62,68,68,198,39.6
female,group B,associate's degree,standard,none,47,49,50,146,29.2
male,group B,high school,free/reduced,none,49,45,45,139,27.8
male,group A,some college,free/reduced,completed,50,47,54,151,30.2
male,group E,associate's degree,standard,none,72,64,63,199,39.8
male,group D,high school,free/reduced,none,42,39,34,115,23.0
female,group C,some college,standard,none,73,80,82,235,47.0
female,group C,some college,free/reduced,none,76,83,88,247,49.4
female,group D,associate's degree,standard,none,71,71,74,216,43.2
female,group A,some college,standard,none,58,70,67,195,39.0
female,group D,some high school,standard,none,73,86,82,241,48.2
female,group C,bachelor's degree,standard,none,65,72,74,211,42.2
male,group C,high school,free/reduced,none,27,34,36,97,19.4
male,group C,high school,standard,none,71,79,71,221,44.2
male,group C,associate's degree,free/reduced,completed,43,45,50,138,27.6
female,group B,some college,standard,none,79,86,92,257,51.4
male,group C,associate's degree,free/reduced,completed,78,81,82,241,48.2
male,group B,some high school,standard,completed,65,66,62,193,38.6
female,group E,some college,standard,completed,63,72,70,205,41.0
female,group D,some college,free/reduced,none,58,67,62,187,37.4
female,group D,bachelor's degree,standard,none,65,67,62,194,38.8
male,group B,some college,standard,none,79,67,67,213,42.6
male,group D,bachelor's degree,standard,completed,68,74,74,216,43.2
female,group D,associate's degree,standard,none,85,91,89,265,53.0
male,group B,high school,standard,completed,60,44,47,151,30.2
male,group C,some college,standard,completed,98,86,90,274,54.8
female,group C,some college,standard,none,58,67,72,197,39.4
female,group D,master's degree,standard,none,87,100,100,287,57.4
male,group E,associate's degree,standard,completed,66,63,64,193,38.6
female,group B,associate's degree,free/reduced,none,52,76,70,198,39.6
female,group B,some high school,standard,none,70,64,72,206,41.2
female,group D,associate's degree,free/reduced,completed,77,89,98,264,52.8
male,group C,high school,standard,none,62,55,49,166,33.2
male,group A,associate's degree,standard,none,54,53,47,154,30.8
female,group D,some college,standard,none,51,58,54,163,32.6
female,group E,bachelor's degree,standard,completed,99,100,100,299,59.8
male,group C,high school,standard,none,84,77,74,235,47.0
female,group B,bachelor's degree,free/reduced,none,75,85,82,242,48.4
female,group D,bachelor's degree,standard,none,78,82,79,239,47.8
female,group D,some high school,standard,none,51,63,61,175,35.0
female,group C,some college,standard,none,55,69,65,189,37.8
female,group C,bachelor's degree,standard,completed,79,92,89,260,52.0
male,group B,associate's degree,standard,completed,91,89,92,272,54.4
female,group C,some college,standard,completed,88,93,93,274,54.8
male,group D,high school,free/reduced,none,63,57,56,176,35.2
male,group E,some college,standard,none,83,80,73,236,47.2
female,group B,high school,standard,none,87,95,86,268,53.6
male,group B,some high school,standard,none,72,68,67,207,41.4
male,group D,some college,standard,completed,65,77,74,216,43.2
male,group D,master's degree,standard,none,82,82,74,238,47.6
female,group A,bachelor's degree,standard,none,51,49,51,151,30.2
male,group D,master's degree,standard,none,89,84,82,255,51.0
male,group C,some high school,free/reduced,completed,53,37,40,130,26.0
male,group E,some college,free/reduced,completed,87,74,70,231,46.2
female,group C,some college,standard,completed,75,81,84,240,48.0
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,45.6
male,group C,bachelor's degree,standard,none,58,55,48,161,32.2
male,group B,some high school,standard,completed,51,54,41,146,29.2
male,group E,high school,standard,none,70,55,56,181,36.2
female,group C,associate's degree,standard,none,59,66,67,192,38.4
male,group D,some college,standard,completed,71,61,69,201,40.2
female,group D,some high school,standard,none,76,72,71,219,43.8
female,group C,some college,free/reduced,none,59,62,64,185,37.0
female,group E,some college,free/reduced,completed,42,55,54,151,30.2
male,group A,high school,standard,none,57,43,47,147,29.4
male,group D,some college,standard,none,88,73,78,239,47.8
female,group C,some college,free/reduced,none,22,39,33,94,18.8
male,group B,some high school,standard,none,88,84,75,247,49.4
male,group C,associate's degree,free/reduced,none,73,68,66,207,41.4
female,group D,bachelor's degree,standard,completed,68,75,81,224,44.8
male,group E,associate's degree,free/reduced,completed,100,100,93,293,58.6
male,group A,some high school,standard,completed,62,67,69,198,39.6
male,group A,bachelor's degree,standard,none,77,67,68,212,42.4
female,group B,associate's degree,standard,completed,59,70,66,195,39.0
male,group D,bachelor's degree,standard,none,54,49,47,150,30.0
male,group D,some high school,standard,none,62,67,61,190,38.0
female,group C,some college,standard,completed,70,89,88,247,49.4
female,group E,high school,free/reduced,completed,66,74,78,218,43.6
male,group B,some college,free/reduced,none,60,60,60,180,36.0
female,group B,associate's degree,standard,completed,61,86,87,234,46.8
male,group D,associate's degree,free/reduced,none,66,62,64,192,38.4
male,group B,associate's degree,free/reduced,completed,82,78,74,234,46.8
female,group E,some college,free/reduced,completed,75,88,85,248,49.6
male,group B,master's degree,free/reduced,none,49,53,52,154,30.8
male,group C,high school,standard,none,52,53,49,154,30.8
female,group E,master's degree,standard,none,81,92,91,264,52.8
female,group C,bachelor's degree,standard,completed,96,100,100,296,59.2
male,group C,high school,free/reduced,completed,53,51,51,155,31.0
female,group B,master's degree,free/reduced,completed,58,76,78,212,42.4
female,group B,high school,standard,completed,68,83,78,229,45.8
female,group C,some college,free/reduced,completed,67,75,70,212,42.4
male,group A,high school,standard,completed,72,73,74,219,43.8
male,group E,some high school,standard,none,94,88,78,260,52.0
female,group D,some college,standard,none,79,86,81,246,49.2
female,group C,associate's degree,standard,none,63,67,70,200,40.0
female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,29.6
female,group C,master's degree,standard,completed,81,91,87,259,51.8
female,group B,high school,free/reduced,completed,46,54,58,158,31.6
female,group C,associate's degree,standard,completed,71,77,77,225,45.0
female,group B,master's degree,free/reduced,completed,52,70,62,184,36.8
female,group D,some high school,standard,completed,97,100,100,297,59.4
male,group C,master's degree,free/reduced,completed,62,68,75,205,41.0
female,group C,some college,free/reduced,none,46,64,66,176,35.2
female,group E,high school,standard,none,50,50,47,147,29.4
female,group D,associate's degree,standard,none,65,69,70,204,40.8
male,group C,some high school,free/reduced,completed,45,52,49,146,29.2
male,group C,associate's degree,free/reduced,completed,65,67,65,197,39.4
male,group E,high school,standard,none,80,76,65,221,44.2
male,group D,some high school,standard,completed,62,66,68,196,39.2
male,group B,some high school,free/reduced,none,48,52,45,145,29.0
female,group C,bachelor's degree,standard,none,77,88,87,252,50.4
female,group E,associate's degree,standard,none,66,65,69,200,40.0
male,group D,some college,standard,completed,76,83,79,238,47.6
female,group B,some high school,standard,none,62,64,66,192,38.4
male,group D,some college,standard,completed,77,62,62,201,40.2
female,group C,master's degree,standard,completed,69,84,85,238,47.6
male,group D,associate's degree,standard,none,61,55,52,168,33.6
male,group C,some high school,free/reduced,completed,59,69,65,193,38.6
male,group E,high school,free/reduced,none,55,56,51,162,32.4
female,group B,some college,free/reduced,none,45,53,55,153,30.6
female,group B,bachelor's degree,free/reduced,none,78,79,76,233,46.6
female,group C,associate's degree,standard,completed,67,84,86,237,47.4
female,group D,some college,free/reduced,none,65,81,77,223,44.6
male,group C,associate's degree,standard,none,69,77,69,215,43.0
female,group B,associate's degree,standard,none,57,69,68,194,38.8
male,group C,some college,standard,none,59,41,42,142,28.4
male,group D,some high school,standard,completed,74,71,78,223,44.6
male,group E,bachelor's degree,standard,none,82,62,62,206,41.2
male,group E,high school,standard,completed,81,80,76,237,47.4
female,group B,some college,free/reduced,none,74,81,76,231,46.2
female,group B,some college,free/reduced,none,58,61,66,185,37.0
male,group D,some high school,free/reduced,completed,80,79,79,238,47.6
male,group C,some college,free/reduced,none,35,28,27,90,18.0
female,group C,high school,free/reduced,none,42,62,60,164,32.8
male,group C,associate's degree,free/reduced,completed,60,51,56,167,33.4
male,group E,high school,standard,completed,87,91,81,259,51.8
male,group B,some high school,standard,completed,84,83,75,242,48.4
female,group E,associate's degree,free/reduced,completed,83,86,88,257,51.4
female,group C,high school,free/reduced,none,34,42,39,115,23.0
male,group B,high school,free/reduced,none,66,77,70,213,42.6
male,group B,some high school,standard,completed,61,56,56,173,34.6
female,group D,high school,standard,completed,56,68,74,198,39.6
male,group B,associate's degree,standard,none,87,85,73,245,49.0
female,group C,some high school,free/reduced,none,55,65,62,182,36.4
male,group D,some high school,standard,none,86,80,75,241,48.2
female,group B,associate's degree,standard,completed,52,66,73,191,38.2
female,group E,master's degree,free/reduced,none,45,56,54,155,31.0
female,group C,some college,standard,none,72,72,71,215,43.0
male,group D,high school,standard,none,57,50,54,161,32.2
male,group A,some high school,free/reduced,none,68,72,64,204,40.8
female,group C,some college,standard,completed,88,95,94,277,55.4
male,group D,some college,standard,none,76,64,66,206,41.2
male,group C,associate's degree,standard,none,46,43,42,131,26.2
female,group B,bachelor's degree,standard,none,67,86,83,236,47.2
male,group E,some high school,standard,none,92,87,78,257,51.4
male,group C,bachelor's degree,standard,completed,83,82,84,249,49.8
male,group D,associate's degree,standard,none,80,75,77,232,46.4
male,group D,bachelor's degree,free/reduced,none,63,66,67,196,39.2
female,group D,some high school,standard,completed,64,60,74,198,39.6
male,group B,some college,standard,none,54,52,51,157,31.4
male,group C,associate's degree,standard,none,84,80,80,244,48.8
male,group D,high school,free/reduced,completed,73,68,66,207,41.4
female,group E,bachelor's degree,standard,none,80,83,83,246,49.2
female,group D,high school,standard,none,56,52,55,163,32.6
male,group E,some college,standard,none,59,51,43,153,30.6
male,group D,some high school,standard,none,75,74,69,218,43.6
male,group C,associate's degree,standard,none,85,76,71,232,46.4
male,group E,associate's degree,standard,none,89,76,74,239,47.8
female,group B,high school,standard,completed,58,70,68,196,39.2
female,group B,high school,standard,none,65,64,62,191,38.2
male,group C,high school,standard,none,68,60,53,181,36.2
male,group A,some high school,standard,completed,47,49,49,145,29.0
female,group D,some college,free/reduced,none,71,83,83,237,47.4
female,group B,some high school,standard,completed,60,70,70,200,40.0
male,group D,master's degree,standard,none,80,80,72,232,46.4
male,group D,high school,standard,none,54,52,52,158,31.6
female,group E,some college,standard,none,62,73,70,205,41.0
female,group C,associate's degree,free/reduced,none,64,73,68,205,41.0
male,group C,associate's degree,standard,completed,78,77,77,232,46.4
female,group B,some college,standard,none,70,75,78,223,44.6
female,group C,master's degree,free/reduced,completed,65,81,81,227,45.4
female,group C,some high school,free/reduced,completed,64,79,77,220,44.0
male,group C,some college,standard,completed,79,79,78,236,47.2
female,group C,some high school,free/reduced,none,44,50,51,145,29.0
female,group E,high school,standard,none,99,93,90,282,56.4
male,group D,high school,standard,none,76,73,68,217,43.4
male,group D,some high school,free/reduced,none,59,42,41,142,28.4
female,group C,bachelor's degree,standard,none,63,75,81,219,43.8
female,group D,high school,standard,none,69,72,77,218,43.6
female,group D,associate's degree,standard,completed,88,92,95,275,55.0
female,group E,some college,free/reduced,none,71,76,70,217,43.4
male,group C,bachelor's degree,standard,none,69,63,61,193,38.6
male,group C,some college,standard,none,58,49,42,149,29.8
female,group D,associate's degree,free/reduced,none,47,53,58,158,31.6
female,group D,some college,standard,none,65,70,71,206,41.2
male,group B,some college,standard,completed,88,85,76,249,49.8
male,group C,bachelor's degree,standard,none,83,78,73,234,46.8
female,group C,some high school,standard,completed,85,92,93,270,54.0
female,group E,high school,standard,completed,59,63,75,197,39.4
female,group C,some high school,free/reduced,none,65,86,80,231,46.2
male,group B,bachelor's degree,free/reduced,none,73,56,57,186,37.2
male,group D,high school,standard,none,53,52,42,147,29.4
male,group D,high school,standard,none,45,48,46,139,27.8
female,group D,bachelor's degree,free/reduced,none,73,79,84,236,47.2
female,group D,some college,free/reduced,completed,70,78,78,226,45.2
female,group B,some high school,standard,none,37,46,46,129,25.8
male,group B,associate's degree,standard,completed,81,82,82,245,49.0
male,group E,associate's degree,standard,completed,97,82,88,267,53.4
female,group B,some high school,standard,none,67,89,82,238,47.6
male,group B,bachelor's degree,free/reduced,none,88,75,76,239,47.8
male,group E,some high school,standard,completed,77,76,77,230,46.0
male,group C,associate's degree,standard,none,76,70,68,214,42.8
male,group D,some high school,standard,none,86,73,70,229,45.8
male,group C,some high school,standard,completed,63,60,57,180,36.0
female,group E,bachelor's degree,standard,none,65,73,75,213,42.6
male,group D,high school,free/reduced,completed,78,77,80,235,47.0
male,group B,associate's degree,free/reduced,none,67,62,60,189,37.8
male,group A,some high school,standard,completed,46,41,43,130,26.0
male,group E,associate's degree,standard,completed,71,74,68,213,42.6
male,group C,high school,free/reduced,completed,40,46,50,136,27.2
male,group D,associate's degree,free/reduced,none,90,87,75,252,50.4
male,group A,some college,free/reduced,completed,81,78,81,240,48.0
male,group D,some high school,free/reduced,none,56,54,52,162,32.4
female,group C,associate's degree,standard,completed,67,84,81,232,46.4
male,group B,associate's degree,standard,none,80,76,64,220,44.0
female,group C,associate's degree,standard,completed,74,75,83,232,46.4
male,group A,some college,standard,none,69,67,69,205,41.0
male,group E,some college,standard,completed,99,87,81,267,53.4
male,group C,some high school,standard,none,51,52,44,147,29.4
female,group B,associate's degree,free/reduced,none,53,71,67,191,38.2
female,group D,high school,free/reduced,none,49,57,52,158,31.6
female,group B,associate's degree,standard,none,73,76,80,229,45.8
male,group B,bachelor's degree,standard,none,66,60,57,183,36.6
male,group D,bachelor's degree,standard,completed,67,61,68,196,39.2
female,group C,associate's degree,free/reduced,completed,68,67,69,204,40.8
female,group C,bachelor's degree,standard,completed,59,64,75,198,39.6
male,group C,high school,standard,none,71,66,65,202,40.4
female,group D,master's degree,standard,completed,77,82,91,250,50.0
male,group C,associate's degree,standard,none,83,72,78,233,46.6
male,group B,bachelor's degree,standard,none,63,71,69,203,40.6
female,group D,associate's degree,free/reduced,none,56,65,63,184,36.8
female,group C,high school,free/reduced,completed,67,79,84,230,46.0
female,group E,high school,standard,none,75,86,79,240,48.0
female,group C,some college,standard,none,71,81,80,232,46.4
female,group C,some high school,free/reduced,none,43,53,53,149,29.8
female,group C,high school,free/reduced,none,41,46,43,130,26.0
female,group C,some college,standard,none,82,90,94,266,53.2
male,group C,some college,standard,none,61,61,62,184,36.8
male,group A,some college,free/reduced,none,28,23,19,70,14.0
male,group C,associate's degree,standard,completed,82,75,77,234,46.8
female,group B,some high school,standard,none,41,55,51,147,29.4
male,group C,high school,standard,none,71,60,61,192,38.4
male,group C,associate's degree,standard,none,47,37,35,119,23.8
male,group E,associate's degree,standard,completed,62,56,53,171,34.2
male,group B,associate's degree,standard,none,90,78,81,249,49.8
female,group C,bachelor's degree,standard,none,83,93,95,271,54.2
female,group B,some college,free/reduced,none,61,68,66,195,39.0
male,group D,some high school,standard,completed,76,70,69,215,43.0
male,group C,associate's degree,standard,none,49,51,43,143,28.6
female,group B,some high school,free/reduced,none,24,38,27,89,17.8
female,group D,some high school,free/reduced,completed,35,55,60,150,30.0
male,group C,high school,free/reduced,none,58,61,52,171,34.2
female,group C,high school,standard,none,61,73,63,197,39.4
female,group B,high school,standard,completed,69,76,74,219,43.8
male,group D,associate's degree,standard,completed,67,72,67,206,41.2
male,group D,some college,standard,none,79,73,67,219,43.8
female,group C,high school,standard,none,72,80,75,227,45.4
male,group B,some college,standard,none,62,61,57,180,36.0
female,group C,bachelor's degree,standard,completed,77,94,95,266,53.2
male,group D,high school,free/reduced,none,75,74,66,215,43.0
male,group E,associate's degree,standard,none,87,74,76,237,47.4
female,group B,bachelor's degree,standard,none,52,65,69,186,37.2
male,group E,some college,standard,none,66,57,52,175,35.0
female,group C,some college,standard,completed,63,78,80,221,44.2
female,group C,associate's degree,standard,none,46,58,57,161,32.2
female,group C,some college,standard,none,59,71,70,200,40.0
female,group B,bachelor's degree,standard,none,61,72,70,203,40.6
male,group A,associate's degree,standard,none,63,61,61,185,37.0
female,group C,some college,free/reduced,completed,42,66,69,177,35.4
male,group D,some college,free/reduced,none,59,62,61,182,36.4
female,group D,some college,standard,none,80,90,89,259,51.8
female,group B,high school,standard,none,58,62,59,179,35.8
male,group B,some high school,standard,completed,85,84,78,247,49.4
female,group C,some college,standard,none,52,58,58,168,33.6
female,group D,some high school,free/reduced,none,27,34,32,93,18.6
male,group C,some college,standard,none,59,60,58,177,35.4
male,group A,bachelor's degree,free/reduced,completed,49,58,60,167,33.4
male,group C,high school,standard,completed,69,58,53,180,36.0
male,group C,bachelor's degree,free/reduced,none,61,66,61,188,37.6
female,group A,some high school,free/reduced,none,44,64,58,166,33.2
female,group D,some high school,standard,none,73,84,85,242,48.4
male,group E,some college,standard,none,84,77,71,232,46.4
female,group C,some college,free/reduced,completed,45,73,70,188,37.6
male,group D,some high school,standard,none,74,74,72,220,44.0
female,group D,some college,standard,completed,82,97,96,275,55.0
female,group D,bachelor's degree,standard,none,59,70,73,202,40.4
male,group E,associate's degree,free/reduced,none,46,43,41,130,26.0
female,group D,some high school,standard,none,80,90,82,252,50.4
female,group D,master's degree,free/reduced,completed,85,95,100,280,56.0
female,group A,some high school,standard,none,71,83,77,231,46.2
male,group A,bachelor's degree,standard,none,66,64,62,192,38.4
female,group B,associate's degree,standard,none,80,86,83,249,49.8
male,group C,associate's degree,standard,completed,87,100,95,282,56.4
male,group C,master's degree,free/reduced,none,79,81,71,231,46.2
female,group E,some high school,free/reduced,none,38,49,45,132,26.4
female,group A,some high school,free/reduced,none,38,43,43,124,24.8
female,group E,some college,standard,none,67,76,75,218,43.6
female,group E,bachelor's degree,standard,none,64,73,70,207,41.4
female,group C,associate's degree,free/reduced,none,57,78,67,202,40.4
female,group D,high school,standard,none,62,64,64,190,38.0
male,group D,master's degree,standard,none,73,70,75,218,43.6
male,group E,some high school,free/reduced,completed,73,67,59,199,39.8
female,group D,some college,standard,none,77,68,77,222,44.4
male,group E,some college,standard,none,76,67,67,210,42.0
male,group C,associate's degree,standard,completed,57,54,56,167,33.4
female,group C,some high school,standard,completed,65,74,77,216,43.2
male,group A,high school,free/reduced,none,48,45,41,134,26.8
female,group B,high school,free/reduced,none,50,67,63,180,36.0
female,group C,associate's degree,standard,none,85,89,95,269,53.8
male,group B,some high school,standard,none,74,63,57,194,38.8
male,group D,some high school,standard,none,60,59,54,173,34.6
female,group C,some high school,standard,completed,59,54,67,180,36.0
male,group A,some college,standard,none,53,43,43,139,27.8
female,group A,some college,free/reduced,none,49,65,55,169,33.8
female,group D,high school,standard,completed,88,99,100,287,57.4
female,group C,high school,standard,none,54,59,62,175,35.0
female,group C,some high school,standard,none,63,73,68,204,40.8
male,group B,associate's degree,standard,completed,65,65,63,193,38.6
female,group B,associate's degree,standard,none,82,80,77,239,47.8
female,group D,high school,free/reduced,completed,52,57,56,165,33.0
male,group D,associate's degree,standard,completed,87,84,85,256,51.2
female,group D,master's degree,standard,completed,70,71,74,215,43.0
male,group E,some college,standard,completed,84,83,78,245,49.0
male,group D,associate's degree,standard,none,71,66,60,197,39.4
male,group B,some high school,standard,completed,63,67,67,197,39.4
female,group C,bachelor's degree,free/reduced,completed,51,72,79,202,40.4
male,group E,high school,standard,none,84,73,69,226,45.2
male,group C,bachelor's degree,standard,completed,71,74,68,213,42.6
male,group C,associate's degree,standard,none,74,73,67,214,42.8
male,group D,some college,standard,none,68,59,62,189,37.8
male,group E,high school,free/reduced,completed,57,56,54,167,33.4
female,group C,associate's degree,free/reduced,completed,82,93,93,268,53.6
female,group D,high school,standard,completed,57,58,64,179,35.8
female,group D,master's degree,free/reduced,completed,47,58,67,172,34.4
female,group A,some high school,standard,completed,59,85,80,224,44.8
male,group B,some college,free/reduced,none,41,39,34,114,22.8
female,group C,some college,free/reduced,none,62,67,62,191,38.2
male,group C,bachelor's degree,standard,none,86,83,86,255,51.0
male,group C,some high school,free/reduced,none,69,71,65,205,41.0
male,group A,some high school,free/reduced,none,65,59,53,177,35.4
male,group C,some high school,free/reduced,none,68,63,54,185,37.0
male,group C,associate's degree,free/reduced,none,64,66,59,189,37.8
female,group C,high school,standard,none,61,72,70,203,40.6
male,group C,high school,standard,none,61,56,55,172,34.4
female,group A,some high school,free/reduced,none,47,59,50,156,31.2
male,group C,some high school,standard,none,73,66,66,205,41.0
male,group C,some college,free/reduced,completed,50,48,53,151,30.2
male,group D,associate's degree,standard,none,75,68,64,207,41.4
male,group D,associate's degree,free/reduced,none,75,66,73,214,42.8
male,group C,high school,standard,none,70,56,51,177,35.4
male,group D,some high school,standard,completed,89,88,82,259,51.8
female,group C,some college,standard,completed,67,81,79,227,45.4
female,group D,high school,standard,none,78,81,80,239,47.8
female,group A,some high school,free/reduced,none,59,73,69,201,40.2
female,group B,associate's degree,standard,none,73,83,76,232,46.4
male,group A,some high school,free/reduced,none,79,82,73,234,46.8
female,group C,some high school,standard,completed,67,74,77,218,43.6
male,group D,some college,free/reduced,none,69,66,60,195,39.0
male,group C,high school,standard,completed,86,81,80,247,49.4
male,group B,high school,standard,none,47,46,42,135,27.0
male,group B,associate's degree,standard,none,81,73,72,226,45.2
female,group C,some college,free/reduced,completed,64,85,85,234,46.8
female,group E,some college,standard,none,100,92,97,289,57.8
female,group C,associate's degree,free/reduced,none,65,77,74,216,43.2
male,group C,some college,free/reduced,none,65,58,49,172,34.4
female,group C,associate's degree,free/reduced,none,53,61,62,176,35.2
male,group C,bachelor's degree,free/reduced,none,37,56,47,140,28.0
female,group D,bachelor's degree,standard,none,79,89,89,257,51.4
male,group D,associate's degree,free/reduced,none,53,54,48,155,31.0
female,group E,bachelor's degree,standard,none,100,100,100,300,60.0
male,group B,high school,standard,completed,72,65,68,205,41.0
male,group C,bachelor's degree,free/reduced,none,53,58,55,166,33.2
male,group B,some college,free/reduced,none,54,54,45,153,30.6
female,group E,some college,standard,none,71,70,76,217,43.4
female,group C,some college,free/reduced,none,77,90,91,258,51.6
male,group A,bachelor's degree,standard,completed,75,58,62,195,39.0
female,group C,some college,standard,none,84,87,91,262,52.4
female,group D,associate's degree,free/reduced,none,26,31,38,95,19.0
male,group A,high school,free/reduced,completed,72,67,65,204,40.8
female,group A,high school,free/reduced,completed,77,88,85,250,50.0
male,group C,some college,standard,none,91,74,76,241,48.2
female,group C,associate's degree,standard,completed,83,85,90,258,51.6
female,group C,high school,standard,none,63,69,74,206,41.2
female,group C,associate's degree,standard,completed,68,86,84,238,47.6
female,group D,some high school,standard,none,59,67,61,187,37.4
female,group B,associate's degree,standard,completed,90,90,91,271,54.2
female,group D,bachelor's degree,standard,completed,71,76,83,230,46.0
male,group E,bachelor's degree,standard,completed,76,62,66,204,40.8
male,group D,associate's degree,standard,none,80,68,72,220,44.0
female,group D,master's degree,standard,none,55,64,70,189,37.8
male,group E,associate's degree,standard,none,76,71,67,214,42.8
male,group B,high school,standard,completed,73,71,68,212,42.4
female,group D,associate's degree,free/reduced,none,52,59,56,167,33.4
male,group C,some college,free/reduced,none,68,68,61,197,39.4
male,group A,high school,standard,none,59,52,46,157,31.4
female,group B,associate's degree,standard,none,49,52,54,155,31.0
male,group C,high school,standard,none,70,74,71,215,43.0
male,group D,some college,free/reduced,none,61,47,56,164,32.8
female,group C,associate's degree,free/reduced,none,60,75,74,209,41.8
male,group B,some high school,standard,completed,64,53,57,174,34.8
male,group A,associate's degree,free/reduced,completed,79,82,82,243,48.6
female,group A,associate's degree,free/reduced,none,65,85,76,226,45.2
female,group C,associate's degree,standard,none,64,64,70,198,39.6
female,group C,some college,standard,none,83,83,90,256,51.2
female,group C,bachelor's degree,standard,none,81,88,90,259,51.8
female,group B,high school,standard,none,54,64,68,186,37.2
male,group D,high school,standard,completed,68,64,66,198,39.6
